id,name,category,severity,status,message,score,max_score,remediation,reference
NX-SYS-001,Guest Shell Disabled,System Hardening,CRITICAL,PASS,Insecure configuration correctly absent,10,10,"CRITICAL: Guest Shell is enabled by default and provides network access!

Disable Guest Shell immediately:
switch(config)# no feature guestshell

Why this is CRITICAL:
- Guest Shell provides Linux shell access with network connectivity
- Enabled by default on many NX-OS platforms
- Can be exploited for lateral movement
- Provides persistent access point
- Most organizations don't need Guest Shell

CIS Benchmark: High-risk feature that should be disabled unless explicitly required
",CIS 1.2.3 | Cisco Hardening Guide | System Hardening | CRITICAL Security Gap #1
NX-SYS-002,Bash Shell Consent Token Required,System Hardening,HIGH,FAIL,[FAIL] Required configuration not found: terminal password.*consent-token,0,5,"Require consent token for bash shell access:
switch(config)# terminal password 0 consent-token

This adds an additional authentication layer for bash shell access.
",Cisco Hardening Guide | System Hardening
NX-SYS-003,Sudo Password Prompt Enabled,System Hardening,MEDIUM,PASS,Insecure configuration correctly absent,3,3,"Ensure sudo requires password:

Review sudoers file and remove NOPASSWD entries:
switch# run bash
bash$ sudo vi /etc/sudoers

Remove or comment out any NOPASSWD lines
",Cisco Hardening Guide | System Hardening
NX-SYS-004,FIPS Mode Enabled,System Hardening,MEDIUM,FAIL,[FAIL] Required configuration not found: ^fips mode enable,0,3,"Enable FIPS 140-2 mode:
switch(config)# fips mode enable

Note: Requires switch reload
Verify: show fips status
",Cisco Hardening Guide | System Hardening | CIS 1.3.1
NX-MP-001,Local User Authentication,User Management,HIGH,PASS,Found: username admin password 5 $5$IFKDEK$1l9o.3JUkGQ4F.QDJcYZ9F99cbkZng2HXcbpORZSvk2 role network-admin,5,5,"Configure local users with Type-5 (SHA-512) encrypted passwords:
switch(config)# username admin password 5 <encrypted-password> role network-admin

Verify password encryption:
show running-config | include username
",Management Plane > User Authentication | CIS 1.1.1
NX-MP-002,Password Strength Requirements,Password Management,HIGH,FAIL,[FAIL] Required configuration not found: ^password strength-check,0,5,"Enable password strength checking:
switch(config)# password strength-check

This enforces:
- Minimum length requirements
- Character complexity
- Dictionary checks
",Management Plane > Password Management | CIS 1.1.2
NX-MP-003,AAA Authentication Login,AAA Configuration,CRITICAL,PASS,Found: aaa authentication login default group tacacs1 local,10,10,"Configure AAA authentication:
switch(config)# aaa authentication login default group tacacs+ local
switch(config)# aaa authentication login console group tacacs+ local

This enables centralized authentication with local fallback
",Management Plane > AAA | CIS 1.2.1
NX-MP-004,AAA Authorization Commands,AAA Configuration,HIGH,PASS,Found: aaa authorization commands default group tacacs1 local,5,5,"Configure AAA command authorization:
switch(config)# aaa authorization commands default group tacacs+ local

This ensures all commands are authorized through AAA
",Management Plane > AAA | CIS 1.2.2
NX-MP-005,AAA Accounting,AAA Configuration,HIGH,PASS,Found: aaa accounting default group tacacs1,5,5,"Configure AAA accounting:
switch(config)# aaa accounting default group tacacs+

This logs all commands executed for audit trails
",Management Plane > AAA | CIS 1.2.4
NX-MP-024,AAA Key Encryption Type-6,AAA Configuration,CRITICAL,PASS,"Found: tacacs-server host 10.253.11.233 key 6 ""JDYkTL0d5ivKuXmk3l/Mwl6yuCTU4cEaqSrwfjIYJh2bti8NsA8v85ORQCgs4glHdNSLdBfslQg9t9EkWC4dluLEHO8kl/LNAWgf7QPmooKvfKPTV/W4MhwA"" port 49",10,10,"CRITICAL: Type-7 encryption is easily reversible!

Re-configure AAA keys with Type-6 (AES) encryption:
switch(config)# tacacs-server host 10.1.1.1 key 6 <strong-key>
switch(config)# radius-server host 10.1.1.2 key 6 <strong-key>

Verify:
show running-config | include ""key 6""

Why Type-6 is critical:
- Type-7: Vigenere cipher (easily cracked, online tools available)
- Type-6: AES encryption (industry standard, much stronger)
- Type-0: Plaintext (NEVER use)

This is a CRITICAL security gap that many organizations miss!
",Cisco Hardening Guide | Management Plane | CRITICAL Security Gap #2
NX-MP-005AA,TACACS+ Server Timeout Configured,AAA Configuration,CRITICAL,PASS,Found: tacacs-server timeout 30,10,10,"Configure TACACS+ server timeout (global or per-server):

Global timeout:
switch(config)# tacacs-server timeout 5

Per-server timeout:
switch(config)# tacacs-server host 10.1.1.1 timeout 5

Recommended value: 3-10 seconds
- Prevents long delays on server failures
- Ensures timely fallback to local authentication
",Management Plane > AAA | CIS 1.2.3
NX-MP-005AB,TACACS+ Timeout Absolute Value (30 seconds),AAA Configuration,MEDIUM,PASS,Value matches required: 30 seconds,3,3,"Configure TACACS+ timeout to exactly 30 seconds:
switch(config)# tacacs-server timeout 30

This is the required standard timeout value for AAA server communication.",Management Plane > AAA | Organizational Standard
NX-MP-006AA,RADIUS Server Timeout Configured,AAA Configuration,HIGH,PASS,Found: radius-server timeout 5,5,5,"Configure RADIUS server timeout (global or per-server):

Global timeout:
switch(config)# radius-server timeout 5

Per-server timeout:
switch(config)# radius-server host 10.1.1.1 timeout 5

Recommended value: 3-10 seconds
",Management Plane > AAA
NX-MP-006AB,RADIUS Timeout Optimal Range,AAA Configuration,MEDIUM,PASS,Optimal value: 5 seconds (within 3-10 seconds range),3,3,"Adjust RADIUS timeout to optimal range:
switch(config)# radius-server timeout 5",Management Plane > AAA | Best Practice
NX-MP-025,TACACS+ Over TLS 1.3,AAA Configuration,HIGH,FAIL,[FAIL] Required configuration not found: tacacs-server.*ssl-version tlsv1.3,0,5,"Configure TACACS+ to use TLS 1.3:
switch(config)# tacacs-server host 10.1.1.1 ssl-version tlsv1.3

This provides encrypted transport for AAA communications
",Cisco Hardening Guide | Management Plane
